stadium,teams,icao_station,station_name,mappable,notes
AT&T Stadium,DAL,KDFW,Dallas/Fort Worth Intl,true,Domestic; GFS MOS coverage measured 2026-08-19 (curl probe returned MEX data)
Acrisure Stadium,PIT,KPIT,Pittsburgh Intl,true,Same physical stadium as Heinz Field (renamed 2022)
Allegiant Stadium,LV,KLAS,Harry Reid Intl (Las Vegas),true,Domestic
Allianz Arena,TB/CAR (int'l host),,,false,"International (Munich, Germany); no GFS MOS station in the network (measured: EDDM/EDDF-region ICAO queries returned zero rows)"
Arena Corinthians,PHI (int'l host),,,false,"International (Sao Paulo, Brazil); no GFS MOS coverage (measured: SBGR query returned zero rows)"
Arrowhead Stadium,KC,KMCI,Kansas City Intl,true,"Domestic; pre-2021 name for GEHA Field at Arrowhead Stadium, same building"
Azteca Stadium,ARI (int'l host),,,false,"International (Mexico City, Mexico); no GFS MOS coverage (measured: MMMX query returned zero rows)"
Bank of America Stadium,CAR,KCLT,Charlotte Douglas Intl,true,Domestic
Bernabeu,ATL/SF (int'l host),,,false,"International (Madrid, Spain); no GFS MOS coverage (measured: EGLL query returned zero rows; European ICAOs are not in this network)"
Caesars Superdome,NO,KMSY,Louis Armstrong New Orleans Intl,true,"Same physical stadium as Mercedes-Benz Superdome (renamed 2021); indoor dome, forecast temp/wind not applicable to gameplay but archived for completeness"
CenturyLink Field,SEA,KSEA,Seattle-Tacoma Intl,true,Same physical stadium as Lumen Field (renamed 2020)
Deutsche Bank Park,KC/NE (int'l host),,,false,"International (Frankfurt, Germany); no GFS MOS coverage (measured: EDDF query returned zero rows)"
Edward Jones Dome,"STL (historic, pre-2016 relocation)",KSTL,St. Louis Lambert Intl,true,"Historic St. Louis Rams dome; not in the 2020-2025 ingestion window, included for reference-table completeness (nflverse retroactively relabels the franchise LA in game_features.parquet, but the raw stadium string still records this name)"
Empower Field at Mile High,DEN,KDEN,Denver Intl,true,Domestic
Estadio Banorte,LV (int'l host),,,false,"International (Monterrey, Mexico); no GFS MOS coverage"
EverBank Stadium,JAX,KJAX,Jacksonville Intl,true,Same physical stadium as TIAA Bank Stadium (renamed 2024)
FC Bayern Munich Stadium,DET (int'l host),,,false,"International (Munich, Germany); same physical venue as Allianz Arena under an alternate sponsor name in the schedules feed; no GFS MOS coverage"
FedExField,WAS,KDCA,Ronald Reagan Washington National,true,"Domestic; same physical stadium as Northwest Stadium (renamed 2025); KIAD (Dulles) is an alternative, KDCA chosen as closer to Landover MD"
FirstEnergy Stadium,CLE,KCLE,Cleveland Hopkins Intl,true,Same physical stadium as Huntington Bank Field (renamed 2024)
Ford Field,DET,KDTW,Detroit Metro,true,Domestic; indoor dome
GEHA Field at Arrowhead Stadium,KC,KMCI,Kansas City Intl,true,Same physical stadium as Arrowhead Stadium (renamed 2021)
Georgia Dome,"ATL (historic, pre-2017)",KATL,Hartsfield-Jackson Atlanta Intl,true,"Historic Atlanta dome replaced by Mercedes-Benz Stadium in 2017; not in the 2020-2025 ingestion window, included for completeness"
Gillette Stadium,NE,KPVD,Providence T.F. Green Intl,true,Domestic; Foxborough MA sits closer to Providence than Boston Logan (KBOS is the alternative)
Hard Rock Stadium,MIA,KMIA,Miami Intl,true,Domestic; KFLL (Fort Lauderdale) is a comparable-distance alternative
Heinz Field,PIT,KPIT,Pittsburgh Intl,true,Same physical stadium as Acrisure Stadium (renamed 2022)
Highmark Stadium,BUF,KBUF,Buffalo Niagara Intl,true,Same physical stadium as New Era Field (renamed 2021)
Huntington Bank Field,CLE,KCLE,Cleveland Hopkins Intl,true,Same physical stadium as FirstEnergy Stadium (renamed 2024)
Lambeau Field,GB,KGRB,Green Bay Austin Straubel Intl,true,"Domestic; MEX bulletin fetch VERIFIED this session (2022-12-06 00Z issuance, ftime 2022-12-11 12:00 = the following Sunday's game window)"
