season_effective,category,event,mechanism_touched,expected_signal_families,source_url,notes
2004,officiating_emphasis,Illegal contact / defensive holding points-of-emphasis crackdown,Strict enforcement of the 5-yard-downfield incidental-contact limit on defenders covering receivers,"penalties; QB availability (pass efficiency, indirect); coach fade",https://www.espn.com/nfl/columns/story?columnist=pasquarelli_len&id=1771047,"Points-of-emphasis, not a rule-text change. Reported (unverified by this agent): illegal-contact fouls rose from 79 to 191 league-wide that season, cited by a 2014 Washington Post retrospective, not a 2004 primary count."
2011,kickoff,Kickoff spot moved from the 30-yard line to the 35-yard line,Shortens the distance a returner has to build speed before contact; touchback spot stayed at the 20,kicking; home advantage (field position); coach fade,https://www.nfl.com/news/nfl-moves-kickoffs-to-35-yard-line-touchbacks-unchanged-09000d5d81ee38c1,"Reported (unverified by this agent): touchback rate rose from 16.4% to 43.5% and return rate fell from 80.1% to 53.4% year over year, per ESPN Stats & Info figures surfaced in search."
2011,roster_cba,"2011 CBA ends lockout: shorter offseason program, OTAs capped at 10, year-round full-contact practice limits, rookie wage scale","Less padded/contact practice time per team per year, especially for rookies; lockout also compressed the 2011 offseason calendar",QB availability; coach fade,https://en.wikipedia.org/wiki/2011_NFL_lockout,"Lockout ran March 12, 2011 - July 25, 2011 (reported, unverified beyond this Wikipedia summary). Practice-limit numbers reported by search-engine synthesis, not read from the CBA text itself."
2012,overtime,Regular-season overtime adopts modified sudden death (both teams get a possession unless the first team scores a TD),Removes the pure first-score-wins dynamic for field goals in regular-season OT,market_structure (closing-line/CLV dynamics); home advantage,https://www.foxnews.com/sports/league-adopts-playoff-ot-rule-for-regular-season,Extends a rule the league had already used in the playoffs since the 2010 season.
2014,officiating_emphasis,Second illegal-contact / defensive-holding crackdown (echo of 2004),"Same 5-yard contact rule, re-emphasized to officiating crews for the 2014 preseason/season",penalties; coach fade,https://www.washingtonpost.com/news/sports/wp/2014/08/13/nfl-crackdown-on-illegal-contact-may-spur-epic-stat-surge-for-qbs-like-tom-brady-peyton-manning/,"Points-of-emphasis, not a rule-text change. Effective date is approximate (preseason-2014 press coverage); no single owners'-meeting vote found tied to this one."
2015,scoring_rule,Extra point moved to the 15-yard line (a 33-yard kick); 2-point tries stay at the 2; blocked/returned PATs and failed 2-point tries become returnable for 2 points,Lowers PAT success rate from near-automatic and adds a rare defensive-scoring path,kicking,https://www.nfl.com/news/nfl-moves-extra-point-to-15-yard-line-for-2015-season-0ap3000000493347,Approved 30-2 by owners at the 2015 spring meeting (reported).
2016,kickoff,Touchback spot on kickoffs moved from the 20-yard line to the 25-yard line,"Makes touchbacks a better outcome for the receiving team than most returns, pushing kicking teams toward shorter/higher kicks",kicking; home advantage,https://www.footballzebras.com/2016/08/with-goal-of-reducing-kickoff-returns-nfl-sets-touchback-spot-at-25/,Started as a one-year trial explicitly revocable if it didn't reduce injuries; stayed in force through the 2023 season (superseded by the 2024 dynamic-kickoff overhaul).
2017,clock_rules,10-second run-off rule expanded to apply after the two-minute warning (previously only the final minute of each half),Widens the window in which a trailing offense can be charged a 10-second clock run-off for a penalty-caused stoppage,market_structure (in-game win-probability/closing dynamics); coach fade,https://www.footballzebras.com/2017/10/everything-need-know-10-second-runoffs/,The underlying run-off rule dates to 1955 and picked up a replay-reversal provision in 2010 and a play-clock-reset tweak in 2023; this row marks the 2017 scope expansion specifically.
2017,meta_game,"Secular rise in 4th-down go-for-it aggressiveness, commonly dated to Doug Pederson's Philadelphia Eagles (hired 2016, Super Bowl LII win at the end of the 2017 season) building on earlier academic work (Romer 2006) and analytics-media advocacy",Coaches trade expected-points-optimal 4th-down decisions against the historical punt/kick-heavy norm,coach fade,https://www.sportico.com/leagues/football/2024/detroit-lions-dan-campbell-nfl-stats-fourth-down-1234817656/,"Not a rule change; a meta-game shift with an admittedly fuzzy, multi-year boundary. Reported (unverified primary counts): 4th-and-2 go-for-it rate ~20% in the first 12 weeks of 2009 vs. ~42% in 2024; NFL Next Gen Stats' Decision Guide 'go' recommendation follow-rate rose from 31% in 2017 (its introduction) to 53% in 2020. season_effective=2017 is a placeholder midpoint (Eagles' Super Bowl season) for a trend Task B's go-rate series should locate empirically rather than assume."
2017,overtime,Regular-season overtime period shortened from 15 minutes to 10 minutes,Raises tie probability and shortens the tail of very long games ahead of short-week schedule spots,market_structure; rest,https://www.washingtonpost.com/news/sports/wp/2017/05/23/nfl-votes-to-shorten-regular-season-overtime-period-from-15-minutes-to-10/,Framed by the league as a player-safety measure (short-week/Thursday exposure); postseason OT length unaffected.
